Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	NA	NA	NA	NA	NA	NA
HALLMARK_SPERMATOGENESIS	1	NA	NA	NA	NA	NA	NA
HALLMARK_PANCREAS_BETA_CELLS	1	NA	NA	NA	NA	NA	NA
HALLMARK_NOTCH_SIGNALING	2	NA	NA	NA	NA	NA	NA
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	4	NA	NA	NA	NA	NA	NA
HALLMARK_OXIDATIVE_PHOSPHORYLATION	4	NA	NA	NA	NA	NA	NA
HALLMARK_PROTEIN_SECRETION	4	NA	NA	NA	NA	NA	NA
HALLMARK_DNA_REPAIR	5	NA	NA	NA	NA	NA	NA
HALLMARK_BILE_ACID_METABOLISM	5	NA	NA	NA	NA	NA	NA
HALLMARK_HEDGEHOG_SIGNALING	5	NA	NA	NA	NA	NA	NA
HALLMARK_ANGIOGENESIS	6	NA	NA	NA	NA	NA	NA
HALLMARK_TGF_BETA_SIGNALING	7	NA	NA	NA	NA	NA	NA
HALLMARK_CHOLESTEROL_HOMEOSTASIS	7	NA	NA	NA	NA	NA	NA
HALLMARK_PEROXISOME	7	NA	NA	NA	NA	NA	NA
HALLMARK_MITOTIC_SPINDLE	8	NA	NA	NA	NA	NA	NA
HALLMARK_APICAL_SURFACE	9	NA	NA	NA	NA	NA	NA
HALLMARK_PI3K_AKT_MTOR_SIGNALING	10	0.7	0.728	0.001	0.002	0.7206890898157144	20.357801114937935
HALLMARK_FATTY_ACID_METABOLISM	10	0.7	0.728	1.0E-4	3.333333333333334E-4	0.7594474676461335	20.049276813374938
HALLMARK_UV_RESPONSE_DN	11	0.3	0.38999999999999996	0.0	0.0	0.9280010506258548	20.907418424751
HALLMARK_ADIPOGENESIS	11	0.2	0.2736842105263158	0.0	0.0	0.8444663254292203	20.85814468682122
HALLMARK_HEME_METABOLISM	12	0.6	0.6782608695652174	0.0398	0.044222222222222225	0.3164794116681887	20.468923207553345
HALLMARK_MYC_TARGETS_V1	14	0.0315	0.07193333333333334	0.0	0.0	0.8325552709947979	20.228505384358193
HALLMARK_INTERFERON_ALPHA_RESPONSE	14	0.0994	0.14444444444444446	0.0	0.0	0.8448532357888331	20.42438942428125
HALLMARK_COAGULATION	14	0.6814	0.728	0.0028	0.004666666666666667	0.3914115431913463	20.660885320486596
HALLMARK_MYC_TARGETS_V2	15	0.0069	0.025628571428571428	0.0	0.0	0.8511183389232083	20.32797689299619
HALLMARK_UV_RESPONSE_UP	15	0.0606	0.11254285714285715	0.0	0.0	0.9575684651252298	20.22899625564381
HALLMARK_IL6_JAK_STAT3_SIGNALING	16	0.0416	0.0832	0.0	0.0	0.8695152199636995	20.13294112605844
HALLMARK_KRAS_SIGNALING_DN	17	0.0011	0.00572	0.0	0.0	0.5963379580217376	8.49263893220352
