Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	NA	NA	NA	NA	NA	NA
HALLMARK_SPERMATOGENESIS	1	NA	NA	NA	NA	NA	NA
HALLMARK_PANCREAS_BETA_CELLS	1	NA	NA	NA	NA	NA	NA
HALLMARK_NOTCH_SIGNALING	2	NA	NA	NA	NA	NA	NA
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	4	NA	NA	NA	NA	NA	NA
HALLMARK_OXIDATIVE_PHOSPHORYLATION	4	NA	NA	NA	NA	NA	NA
HALLMARK_PROTEIN_SECRETION	4	NA	NA	NA	NA	NA	NA
HALLMARK_DNA_REPAIR	5	NA	NA	NA	NA	NA	NA
HALLMARK_BILE_ACID_METABOLISM	5	NA	NA	NA	NA	NA	NA
HALLMARK_HEDGEHOG_SIGNALING	5	NA	NA	NA	NA	NA	NA
HALLMARK_ANGIOGENESIS	6	NA	NA	NA	NA	NA	NA
HALLMARK_TGF_BETA_SIGNALING	7	NA	NA	NA	NA	NA	NA
HALLMARK_CHOLESTEROL_HOMEOSTASIS	7	NA	NA	NA	NA	NA	NA
HALLMARK_PEROXISOME	7	NA	NA	NA	NA	NA	NA
HALLMARK_MITOTIC_SPINDLE	8	NA	NA	NA	NA	NA	NA
HALLMARK_APICAL_SURFACE	9	NA	NA	NA	NA	NA	NA
HALLMARK_PI3K_AKT_MTOR_SIGNALING	10	0.8	0.8	0.0014	0.002357142857142857	0.7206890898157159	2.3578011149379194
HALLMARK_FATTY_ACID_METABOLISM	10	0.6	0.69	2.0E-4	5.5E-4	0.7594474676461338	2.049276813374921
HALLMARK_UV_RESPONSE_DN	11	0.2	0.2705882352941177	0.0	0.0	0.9280010506258544	2.907418424750988
HALLMARK_ADIPOGENESIS	11	0.1	0.14533125	0.0	0.0	0.84446632542922	2.8581446868212472
HALLMARK_HEME_METABOLISM	12	0.7	0.7318181818181817	0.0428	0.04708	0.31647941166818877	2.4689232075533534
HALLMARK_MYC_TARGETS_V1	14	0.0304	0.06753636363636364	0.0	0.0	0.8325552709947979	2.2285053843581903
HALLMARK_INTERFERON_ALPHA_RESPONSE	14	0.1011	0.14533125	0.0	0.0	0.8448532357888328	2.424389424281253
HALLMARK_COAGULATION	14	0.6799	0.7318181818181817	0.0015	0.002357142857142857	0.3914115431913473	2.6608853204866167
HALLMARK_MYC_TARGETS_V2	15	0.0069	0.022671428571428568	0.0	0.0	0.851118338923208	2.32797689299619
HALLMARK_UV_RESPONSE_UP	15	0.0658	0.11641538461538462	0.0	0.0	0.9575684651252292	2.2289962556438017
HALLMARK_IL6_JAK_STAT3_SIGNALING	16	0.0443	0.08490833333333334	0.0	0.0	0.8695152199636992	2.1329411260584408
HALLMARK_KRAS_SIGNALING_DN	17	8.0E-4	0.0046	1.0E-4	3.666666666666667E-4	0.5963379580217378	14.492638932203509
