Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_PROTEIN_SECRETION	0	NA	NA	NA	NA	NA	NA
HALLMARK_PANCREAS_BETA_CELLS	1	NA	NA	NA	NA	NA	NA
HALLMARK_ANGIOGENESIS	3	NA	NA	NA	NA	NA	NA
HALLMARK_APICAL_SURFACE	3	NA	NA	NA	NA	NA	NA
HALLMARK_HEDGEHOG_SIGNALING	3	NA	NA	NA	NA	NA	NA
HALLMARK_WNT_BETA_CATENIN_SIGNALING	4	NA	NA	NA	NA	NA	NA
HALLMARK_SPERMATOGENESIS	5	NA	NA	NA	NA	NA	NA
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	5	NA	NA	NA	NA	NA	NA
HALLMARK_NOTCH_SIGNALING	6	NA	NA	NA	NA	NA	NA
HALLMARK_OXIDATIVE_PHOSPHORYLATION	7	NA	NA	NA	NA	NA	NA
HALLMARK_BILE_ACID_METABOLISM	7	NA	NA	NA	NA	NA	NA
HALLMARK_MITOTIC_SPINDLE	8	NA	NA	NA	NA	NA	NA
HALLMARK_PEROXISOME	9	NA	NA	NA	NA	NA	NA
HALLMARK_CHOLESTEROL_HOMEOSTASIS	10	0.6	0.6923076923076923	0.3	0.32727272727272727	0.3477267235235842	16.867901088853266
HALLMARK_IL6_JAK_STAT3_SIGNALING	12	0.4	0.5	0.0013	0.0052	0.6005397715151843	20.39634548542189
HALLMARK_ADIPOGENESIS	12	0.6	0.6923076923076923	0.6533	0.6817043478260869	0.16334899935163513	15.778794153874294
HALLMARK_TGF_BETA_SIGNALING	13	0.0025	0.009375	0.011	0.022	0.601356264874055	13.965668716236895
HALLMARK_COAGULATION	13	0.2287	0.34305	0.046	0.06494117647058822	0.4034358724752196	19.382546805265463
HALLMARK_FATTY_ACID_METABOLISM	13	0.3057	0.41686363636363644	5.0E-4	0.0028799999999999997	0.5418765960435192	22.552345274097377
HALLMARK_DNA_REPAIR	14	5.0E-4	0.0025	0.0	0.0	0.9718971143045985	21.676509069826878
HALLMARK_PI3K_AKT_MTOR_SIGNALING	14	0.7024	0.7804444444444445	0.265	0.3028571428571429	0.21574428315887711	18.27181454946494
HALLMARK_INTERFERON_ALPHA_RESPONSE	16	0.0067	0.020100000000000003	0.0	0.0	0.871207031509612	22.036706986377283
HALLMARK_ANDROGEN_RESPONSE	16	0.979	0.979	0.2056	0.24672	0.10064870230718244	18.959926702541814
HALLMARK_APICAL_JUNCTION	18	0.6	0.6923076923076923	0.0132	0.02262857142857143	0.21302368872476235	22.82347490844745
HALLMARK_UV_RESPONSE_DN	18	0.0101	0.027545454545454547	0.0062	0.016533333333333334	0.4820233234098799	13.429836693862208
HALLMARK_COMPLEMENT	19	0.2	0.31578947368421056	0.0044	0.013200000000000002	0.49067651092647907	20.61964620827402
HALLMARK_MYOGENESIS	19	0.1028	0.18141176470588236	0.1784	0.22534736842105266	0.34101690655316247	12.5402867199127
HALLMARK_ALLOGRAFT_REJECTION	19	0.1147	0.19116666666666668	0.0	0.0	0.6302493317005454	21.544288982815846
HALLMARK_KRAS_SIGNALING_UP	21	0.8	0.847551724137931	0.7	0.7	0.09619817846460112	19.80303360170583
HALLMARK_XENOBIOTIC_METABOLISM	21	0.8	0.847551724137931	0.0092	0.022	0.3831014238377289	20.91692440774425
HALLMARK_HEME_METABOLISM	21	0.5	0.6	0.0591	0.0788	0.1840218589106068	15.44362313396822
HALLMARK_KRAS_SIGNALING_DN	23	2.0E-4	0.0015	2.0E-4	0.0016	0.6438849231159509	9.854912283439528
HALLMARK_GLYCOLYSIS	25	0.3	0.41686363636363644	0.0	0.0	0.3690367837045387	20.609005155886905
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	26	0.0	0.0	0.0	0.0	0.9092405742808564	21.864876955029928
HALLMARK_UV_RESPONSE_UP	28	0.0143	0.03575	0.0	0.0	0.595637088896522	20.029173597111622
HALLMARK_IL2_STAT5_SIGNALING	29	0.0732	0.13725	0.0125	0.02262857142857143	0.3754312346753536	18.89641225782169
HALLMARK_MYC_TARGETS_V2	29	0.0	0.0	0.0	0.0	0.8342725353126123	21.628218420743174
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	31	0.6	0.6923076923076923	0.0149	0.02384	0.18673949358450564	18.287531805077762
HALLMARK_INFLAMMATORY_RESPONSE	31	1.0E-4	0.001	0.0	0.0	0.49889291535229796	18.862467981643576
HALLMARK_ESTROGEN_RESPONSE_LATE	31	0.8193	0.847551724137931	0.0288	0.0432	0.1321374785321792	15.722750909906951
HALLMARK_INTERFERON_GAMMA_RESPONSE	32	0.0194	0.04285714285714286	0.0	0.0	0.6635871158343978	20.893637129084116
