NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	0.60669124	1.5040948	0.0	0.018000001	0.018	2490	tags=54%, list=21%, signal=68%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	199	0.567958	1.4791199	0.0	0.012000001	0.023	2850	tags=53%, list=24%, signal=68%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	111	0.52010953	1.3329667	0.0	0.078374095	0.214	3701	tags=48%, list=31%, signal=68%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	171	0.5074926	1.3116567	0.001	0.07779076	0.265	2982	tags=42%, list=25%, signal=54%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	142	0.48028213	1.2425239	0.003	0.17665806	0.585	3804	tags=45%, list=31%, signal=65%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	192	0.46466398	1.2097948	0.007	0.24940985	0.791	2695	tags=31%, list=22%, signal=40%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	171	0.46219012	1.1998869	0.003	0.2529347	0.831	3021	tags=36%, list=25%, signal=48%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	91	0.46327424	1.1666508	0.06	0.36322227	0.946	2781	tags=35%, list=23%, signal=45%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	185	0.44238362	1.1524333	0.025	0.41113076	0.982	4751	tags=54%, list=39%, signal=88%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	31	0.47631305	1.1257454	0.21721722	0.5566806	0.999	4811	tags=52%, list=40%, signal=85%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	36	0.4614014	1.1033657	0.263	0.7047687	0.999	4042	tags=47%, list=33%, signal=71%	
