NAME	TITLE	SCORE	
TBCCD1		30.603796	
CCDC24		30.320219	
NFYA		29.82134	
MRPL51		28.0152	
PPID		27.604038	
SPCS2		27.470474	
NR2C2AP		27.446438	
MMAA		27.289736	
PKD1P6-NPIPP1		26.879463	
ZBTB16		26.726488	
TMEM250		26.360447	
SRGAP3		26.009785	
FAM229A		25.987604	
NAP1L4		25.720673	
DNAJA1		25.694096	
TRIM69		25.682621	
RPL36AL		25.62136	
MED28		25.260954	
ZFP62		24.93416	
CASP4		24.783464	
GNPDA1		24.698154	
MED20		24.5649	
EIF2S3		24.44262	
RBM33		24.436476	
DENND2D		24.05065	
NFIX		24.04233	
PREPL		24.03422	
BCAR3		24.03083	
FPGT		23.966547	
TRIM21		23.91268	
IQCN		23.87464	
EXOSC3		23.73971	
WWOX		23.71215	
MFAP1		23.684593	
USPL1		23.377033	
LRIF1		23.363697	
ARPC4		23.289255	
MIEN1		23.281343	
AFF1		23.247355	
LAGE3		23.210665	
CBX1		23.131216	
PDPR		23.102833	
PLEKHA8		23.0861	
FAM221A		23.060497	
TOM1L2		23.057938	
MPPE1		22.964222	
LMF1		22.842434	
N4BP2L2-IT2		22.819557	
NPAS2		22.768616	
FOXN3		22.73853	
PCIF1		22.524202	
SRSF5		22.419207	
TRIM35		22.408186	
REXO4		22.39313	
UQCC2		22.350245	
EIF5		22.340729	
MLXIP		22.322914	
PAK1		22.28238	
DZIP1L		22.241825	
CNGA1		22.083315	
IPO7		21.996782	
FUT2		21.978464	
C6orf62		21.974749	
ARFRP1		21.944675	
WDCP		21.94371	
MRTFB		21.929285	
SCAMP4		21.774567	
MRPL27		21.750002	
FCF1		21.712368	
NEK11		21.675577	
COX20		21.631964	
INTS13		21.629543	
REXO2		21.58871	
VPS39		21.507261	
FKBP5		21.492601	
CNTNAP3B		21.38125	
ARHGAP30		21.37046	
ME2		21.30463	
ZNF397		21.276445	
INPP5B		21.222712	
PKD1P6		21.158718	
HNRNPU		21.063982	
OGFRL1		21.006897	
ORMDL2		20.962353	
ZNF440		20.898249	
EIF4E2		20.88072	
EDF1		20.874369	
STIM1		20.837666	
GDI2		20.802486	
JRKL		20.763107	
MTRFR		20.739616	
EED		20.726925	
ZNF780A		20.63011	
SERTAD1		20.595665	
UBE2S		20.575073	
RPP25L		20.544659	
HSBP1		20.54144	
PNPO		20.526573	
RRAGB		20.523983	
BMAL1		20.522846	
TSHZ1		20.471827	
PDXDC2P-NPIPB14P		20.447575	
PDCD2		20.439558	
HSPD1		20.427074	
PSME2		20.39519	
TRAPPC9		20.361813	
STT3A		20.355665	
RASAL2		20.354885	
CSTF2T		20.338242	
FAM114A2		20.32672	
ZER1		20.318336	
MRPL18		20.258146	
CDC26		20.246735	
SDF2L1		20.232517	
CHCHD7		20.21286	
KLHL21		20.188114	
CKS2		20.181335	
MRPL20-AS1		20.178082	
ADAMTSL3		20.149067	
THAP1		20.127575	
ZNF616		20.112162	
MRPL52		20.050364	
NGLY1		20.045725	
OSTC		20.023773	
RCOR3		20.01369	
ZSCAN26		19.984022	
RPA2		19.978098	
MKKS		19.96759	
PDRG1		19.959183	
NONO		19.872093	
BRK1		19.847338	
ARB2A		19.84721	
NAGK		19.844069	
MGA		19.831894	
CNOT11		19.817404	
ZNF691		19.814482	
MRPS33		19.811243	
PPP1R11		19.782932	
CISD1		19.771961	
TXNL4B		19.763393	
CDON		19.756834	
LARS1		19.694	
PDCD5		19.68559	
INPP5A		19.652855	
FIGNL1		19.590513	
ANKRD27		19.590307	
OSBPL5		19.516615	
QRICH1		19.504519	
PLRG1		19.48598	
FRA10AC1		19.480585	
MED18		19.459234	
TMA16		19.439024	
FAM120C		19.41695	
POLR2J4		19.413399	
RPE		19.395895	
ZNF2		19.39323	
NPEPL1		19.391172	
FUBP1		19.38594	
HSPE1		19.334736	
TPPP		19.319351	
LOC101929719		19.299702	
ARHGEF10L		19.26903	
SUPT6H		19.257761	
LY6G5B		19.23752	
LMAN2		19.19241	
KLF9		19.192038	
GAR1		19.190916	
TSPAN31		19.174788	
SLC2A13		19.171001	
TMEM126B		19.134766	
SNRPG		19.12995	
SCUBE2		19.12804	
NCBP2		19.083603	
DRC3		19.083038	
SP2		19.077583	
NMI		19.071352	
MAU2		19.05318	
HPS5		19.02944	
MATN2		19.02308	
PNPLA7		19.00652	
DFFA		19.004827	
CAMTA1		18.911509	
DNAJC1		18.899582	
GSTM2		18.898195	
TBC1D5		18.873623	
SYNE1		18.86817	
EIF2B2		18.838465	
UTP11		18.814823	
TFDP2		18.73676	
TXNDC17		18.733574	
TMX2		18.707872	
ICA1L		18.706753	
ZNF704		18.68247	
MRPL15		18.681896	
C14orf119		18.65574	
CASP1		18.629045	
HNRNPH3		18.614948	
NFKBIE		18.585358	
ZNF322		18.524092	
TMEM168		18.482061	
MPLKIP		18.466124	
PTK2B		18.45111	
DCLRE1A		18.424812	
NAP1L1		18.422482	
EDA		18.418188	
RAB13		18.36749	
IL11RA		18.356787	
ZNF74		18.33462	
CCT4		18.328917	
RIOX2		18.326313	
PRKCA		18.323822	
SMG9		18.310642	
MED22		18.294922	
ZNF525		18.294014	
PIGM		18.273443	
CHD9		18.270512	
BCAS3		18.268469	
SACS		18.261301	
ANKRD33B		18.26053	
MRPL30		18.252886	
NPM3		18.224876	
UBE2D1		18.188711	
CCDC146		18.181156	
KCNMB4		18.170835	
ZNF251		18.15113	
ZNF195		18.139835	
TIMM8B		18.138912	
SMARCA5		18.128502	
TRMT112		18.12069	
USP30		18.057123	
PFDN6		18.046652	
ZNF234		17.981565	
FAM98A		17.952864	
SUV39H2		17.948586	
WDR89		17.92188	
RAB27A		17.921638	
CNIH1		17.918669	
ZNF473		17.901522	
TP53		17.889551	
FAM13B		17.866844	
ZNF45		17.861958	
SYS1		17.853935	
TOMM5		17.846619	
C1orf216		17.846302	
SLC22A17		17.843994	
NUDCD1		17.839117	
CRIPT		17.825846	
GAS2L1		17.805332	
CHD6		17.803804	
RABIF		17.795258	
EYA3		17.794765	
CSKMT		17.789238	
ZCCHC9		17.768328	
TMEM216		17.762417	
PPOX		17.757116	
NARS2		17.74956	
BBIP1		17.748394	
CREBBP		17.706125	
EIF3I		17.692436	
SF3A3		17.690273	
SMCO4		17.66833	
SEC11C		17.647903	
TAF12		17.642807	
TRAF2		17.637747	
SLC25A29		17.632975	
ARHGAP33		17.627401	
LSM2		17.595577	
PBDC1		17.588184	
BANF1		17.585594	
HP1BP3		17.582483	
CNTNAP3		17.575514	
ZNF286A		17.568329	
FGD4		17.566359	
HELB		17.543863	
GTF2H1		17.530998	
TTI1		17.512644	
NAA20		17.49553	
SAYSD1		17.487396	
STIP1		17.479933	
ARL14EP		17.464643	
HSPH1		17.455965	
DPP8		17.445549	
MRPS5		17.444218	
ARHGAP1		17.401876	
DYNLL1		17.386303	
TCTN1		17.379532	
VPS9D1		17.341799	
HUS1		17.336988	
FKBP2		17.330553	
FBXO5		17.325834	
LAMB4		17.323298	
JPT2		17.318588	
ERCC3		17.303034	
C2CD2L		17.301918	
GTF3C6		17.273453	
NOC3L		17.270927	
OBSL1		17.268328	
S100A11		17.24554	
FASTKD1		17.216696	
VDAC3		17.207594	
BAHD1		17.202982	
RBM14		17.198944	
TOR1B		17.168707	
CMTR2		17.151163	
CIRBP		17.13531	
NPM1		17.123783	
DPH5		17.123337	
SOX5		17.107761	
BMP2		17.09022	
KDM3B		17.031239	
CALCOCO1		17.024364	
KIAA0753		17.016386	
CRIP1		17.013323	
ZNF84		17.007868	
GON7		17.006876	
RBM12B		17.00374	
CCT5		16.977238	
AHDC1		16.961227	
NCBP1		16.951527	
MTRR		16.940285	
IER5		16.935446	
UBTD1		16.935308	
KLF13		16.932287	
MAD2L2		16.92084	
PLEKHA2		16.857271	
MTERF3		16.843489	
FAM200A		16.842049	
FBXO22		16.841331	
LLPH		16.835321	
CNIH4		16.809496	
ZDHHC1		16.803562	
XAB2		16.79812	
SRSF1		16.794237	
KLF4		16.79405	
PNRC2		16.785118	
PDIA6		16.784904	
POLR3K		16.784275	
PHF12		16.772661	
ZNF480		16.77185	
NRBP2		16.73096	
GPATCH4		16.718775	
ZNF79		16.713264	
ERLIN1		16.702034	
INPP1		16.685871	
TNRC6B		16.671867	
CLNS1A		16.670235	
HNRNPA2B1		16.667542	
AP3M2		16.667355	
NRAV		16.661171	
DOCK3		16.660156	
TSC22D3		16.659046	
CCDC167		16.63979	
TMEM141		16.625051	
MANF		16.581224	
NABP2		16.57883	
PRDX1		16.570786	
MVB12B		16.555183	
BLOC1S5		16.551746	
PTPN2		16.534115	
CARNMT1		16.51669	
COPB2		16.500309	
FIZ1		16.499826	
ZNF28		16.477571	
PSMB8		16.469048	
HAX1		16.462784	
MIDEAS		16.454285	
UBXN2B		16.444504	
TRIM25		16.444468	
ACTL6A		16.437387	
PUS3		16.433823	
CD2BP2		16.416512	
EIF2S2		16.41017	
LMNB2		16.40525	
CEP68		16.40363	
MRPL32		16.398275	
RFX2		16.398125	
DGLUCY		16.393555	
PPIL1		16.383257	
DCTPP1		16.382439	
ZNF785		16.37944	
PURA		16.379375	
TDRD7		16.363544	
MAML1		16.35553	
PRR12		16.347044	
UCN2		16.327137	
SEMA3F-AS1		16.278309	
PLPBP		16.267012	
LSM7		16.266283	
LOC103344931		16.256912	
DYNC1I2		16.232151	
AMY2B		16.216627	
ATP9B		16.21589	
GEMIN6		16.205791	
PLPP2		16.176544	
KAT6B		16.17348	
HSPA8		16.17271	
ARHGAP27		16.171011	
PRPF38A		16.154984	
NMNAT1		16.130701	
CACYBP		16.127934	
ZMPSTE24		16.114912	
RABGAP1		16.111809	
DCAF7		16.091148	
AGAP4		16.077663	
SPTLC2		16.042088	
DIAPH2		16.007702	
NHP2		15.996478	
ZDHHC16		15.979658	
PPM1L		15.961769	
TIMMDC1		15.959826	
CRIP2		15.957309	
MCTS1		15.957253	
GCLC		15.952229	
UBOX5		15.942766	
NOPCHAP1		15.907566	
ANKRD11		15.878953	
SLC43A3		15.874311	
UBQLN4		15.872064	
ARMC10		15.870078	
POLR3D		15.865436	
BUB3		15.847894	
ERI1		15.841169	
CALR		15.823935	
RCC1		15.823698	
TXNL1		15.821985	
SRPRB		15.813198	
GTF2IRD2		15.793667	
COA3		15.779788	
ZNF200		15.776821	
RCHY1		15.75943	
TOMM40L		15.750018	
UGDH		15.746536	
ARHGAP24		15.736819	
RAN		15.736063	
CYCS		15.716008	
LYSET		15.712668	
NUP50		15.710203	
PTGES2		15.702754	
C11orf98		15.681674	
JPT1		15.678347	
APCDD1		15.6712885	
POLR2D		15.653489	
FBL		15.647524	
HEATR3		15.644237	
NUP43		15.634741	
BYSL		15.630221	
INTS6		15.629684	
RFC4		15.628022	
GSE1		15.625239	
TPPP3		15.623438	
AKAP8L		15.611852	
RTN4		15.605483	
SETMAR		15.59544	
PFN1		15.58386	
MYL5		15.567639	
PER3		15.562889	
LRP4		15.5569105	
ZRANB2		15.551678	
AMD1		15.5423565	
DENR		15.537709	
STOX2		15.532279	
PAPLN		15.529385	
TFCP2		15.527895	
CLTA		15.5098	
