Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
G2-M Checkpoint	17/43	0.002112826102647341	0.07319137383683895	0	0	2.7125779625779627	16.70874471370109	BARD1;H2AX;JPT1;PRMT5;HSPA8;RBM14;SRSF1;HNRNPU;RPA2;CDC7;FOXN3;CDC20;RPS6KA5;CDK4;CKS2;DMD;KPNA2
E2F Targets	16/41	0.003326880628947225	0.07319137383683895	0	0	2.6497035040431265	15.118466706543192	BARD1;H2AX;JPT1;SRSF1;RPA2;PA2G4;TUBG1;IPO7;NME1;CDC20;CDK4;CHEK2;CKS2;KPNA2;TP53;RAN
Myc Targets V1	15/43	0.014427593325771298	0.21160470211131235	0	0	2.2076612903225805	9.357421188634437	CCT3;NPM1;SRSF1;HNRNPU;U2AF1;PA2G4;NME1;CDC20;CDK4;IMPDH2;CCT7;KPNA2;CCT5;RAN;CCT4
DNA Repair	5/16	0.1969800991121341	0.9999924085790668	0	0	1.8443598286530223	2.9964439449995663	IMPDH2;RPA2;TP53;SAC3D1;NME1
Fatty Acid Metabolism	5/17	0.23653324674813556	0.9999924085790668	0	0	1.6895724258289704	2.4357999702270687	HSP90AA1;ADSL;CA2;OSTC;CBR3
KRAS Signaling Dn	6/30	0.5663453738694695	0.9999924085790668	0	0	1.0085301837270342	0.5734010317653729	BARD1;HSD11B2;C5;FGGY;CD207;GP1BA
Wnt-beta Catenin Signaling	1/4	0.5879742457936712	0.9999924085790668	0	0	1.3454231433506045	0.7145167367957098	TP53
TGF-beta Signaling	3/16	0.6441449248443293	0.9999924085790668	0	0	0.9302884615384616	0.4091702063264058	BCAR3;BMP2;SMURF1
Spermatogenesis	1/5	0.6699976753203231	0.9999924085790668	0	0	1.008419689119171	0.40385296209785737	ARL4A
Cholesterol Homeostasis	2/12	0.7221921613311882	0.9999924085790668	0	0	0.8057142857142857	0.2622310136817391	FABP5;S100A11
Interferon Alpha Response	4/24	0.7324792311326092	0.9999924085790668	0	0	0.8046997389033943	0.2505193576036062	CASP1;TRIM14;TDRD7;NMI
IL-2/STAT5 Signaling	8/47	0.745259854800889	0.9999924085790668	0	0	0.823760232731209	0.2422038972458312	BMP2;ARL4A;AHCY;CA2;IL3RA;BCL2;LRRC8C;EEF1AKMT1
Complement	5/31	0.767858242743121	0.9999924085790668	0	0	0.772754732178816	0.20412327272533426	RABIF;CA2;CASP4;CASP1;GP1BA
heme Metabolism	4/26	0.7902304361237494	0.9999924085790668	0	0	0.730595774982198	0.1720046635859594	TFDP2;CA2;SLC2A1;SLC7A11
Notch Signaling	1/8	0.83058102840406	0.9999924085790668	0	0	0.5751295336787565	0.10676117391509542	PRKCA
Oxidative Phosphorylation	1/8	0.83058102840406	0.9999924085790668	0	0	0.5751295336787565	0.10676117391509542	MTRR
Mitotic Spindle	2/15	0.830842282640329	0.9999924085790668	0	0	0.6185814185814186	0.11463259768824187	ARL8A;SAC3D1
Unfolded Protein Response	5/35	0.8545062629946215	0.9999924085790668	0	0	0.6679755671902269	0.10502676500815358	H2AX;NPM1;NFYA;DDX10;BANF1
Bile Acid Metabolism	1/9	0.8643772018809794	0.9999924085790668	0	0	0.5029145077720207	0.07329779253415629	BCAR3
Estrogen Response Late	6/44	0.8970837089186621	0.9999924085790668	0	0	0.6311645254869457	0.06854831775952196	CDC20;FABP5;CA2;BCL2;FKBP4;KLF4
PI3K/AKT/mTOR  Signaling	2/18	0.8996710317476669	0.9999924085790668	0	0	0.5016233766233766	0.05303468466220494	CDK4;SLC2A1
Coagulation	2/18	0.8996710317476669	0.9999924085790668	0	0	0.5016233766233766	0.05303468466220494	RABIF;GP1BA
UV Response Up	5/38	0.9002455696389189	0.9999924085790668	0	0	0.6060606060606061	0.06368951377070887	H2AX;BMP2;CA2;HNRNPU;FKBP4
UV Response Dn	3/25	0.9005076775364605	0.9999924085790668	0	0	0.5465198863636364	0.057273419661813034	EFEMP1;PRKCA;CDON
Adipogenesis	2/19	0.9160958767066482	0.9999924085790668	0	0	0.4718105423987777	0.041346763445920025	ARL4A;CYP4B1
Pperoxisome	1/12	0.9304796839741483	0.9999924085790668	0	0	0.365049458313707	0.0263036520755371	HSD11B2
Myc Targets V2	3/28	0.9381358234673357	0.9999924085790668	0	0	0.48	0.03065305887393632	NPM1;CDK4;PA2G4
Interferon Gamma Response	6/49	0.9450519067464854	0.9999924085790668	0	0	0.5559421351400843	0.03141930616671909	ARL4A;CASP4;CASP1;TRIM14;TDRD7;NMI
p53 Pathway	6/51	0.957808922109307	0.9999924085790668	0	0	0.5305336832895888	0.022869702702776374	BMP2;CLCA2;CASP1;SLC7A11;KLF4;TP53
KRAS Signaling Up	4/39	0.9666291114890732	0.9999924085790668	0	0	0.45535248041775456	0.015454846516701622	IL33;BMP2;CA2;KLF4
Xenobiotic Metabolism	3/32	0.9680707309521122	0.9999924085790668	0	0	0.41271551724137934	0.013392670210417824	AHCY;CA2;PYCR1
Estrogen Response Early	6/54	0.9719716244137572	0.9999924085790668	0	0	0.49639107611548555	0.014111737070166082	BCL2;SLC2A1;FKBP4;KLF4;RETREG1;TTC39A
Apoptosis	4/41	0.97560043882324	0.9999924085790668	0	0	0.43017429962599674	0.010626235599870927	BMP2;DFFA;CASP4;CASP1
Glycolysis	4/41	0.97560043882324	0.9999924085790668	0	0	0.43017429962599674	0.010626235599870927	ZNF292;ME2;FKBP4;POLR3K
Androgen Response	2/27	0.9811235341090999	0.9999924085790668	0	0	0.31916883116883116	0.006082368699190342	NGLY1;PA2G4
mTORC1 Signaling	5/52	0.9864533755375275	0.9999924085790668	0	0	0.42163306227024616	0.005750744890837877	SLC2A1;SLC7A11;TUBG1;PSPH;SKAP2
Hypoxia	7/68	0.9897578853971317	0.9999924085790668	0	0	0.45297670405522	0.004663361633541636	KDM3A;NAGK;SDC4;ZNF292;BCL2;SLC2A1;PRKCA
IL-6/JAK/STAT3 Signaling	1/21	0.9906998761877259	0.9999924085790668	0	0	0.19961139896373056	0.0018650970473616524	IL3RA
