Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Epithelial Mesenchymal Transition	7/67	0.005427387524693821	0.08183813140198382	0	0	3.7333333333333334	19.474176884034193	VCAN;NNMT;IGFBP4;ABI3BP;PTX3;THY1;ENO2
Protein Secretion	2/4	0.0061106225502289115	0.08183813140198382	0	0	30.35483870967742	154.74066935458302	KRT18;ARFGAP3
Estrogen Response Early	6/54	0.007439830127453075	0.08183813140198382	0	0	3.956896551724138	19.392383048213645	KRT18;ELF3;IGFBP4;STC2;DLC1;HR
Apical Junction	4/33	0.021203166531163033	0.17492612388209502	0	0	4.264367816091954	16.43318804531668	VCAN;NLGN2;THY1;ICAM1
Glycolysis	4/41	0.0431763576834858	0.28496396071100627	0	0	3.327927927927928	10.457887749078411	VCAN;ELF3;STC2;ENO2
Hypoxia	5/68	0.06945167746293887	0.3819842260461638	0	0	2.4495560936238903	6.533269985147053	DDIT3;STC2;ADM;ENO2;MT1E
Allograft Rejection	3/33	0.0917290603310673	0.43243699870360297	0	0	3.039344262295082	7.260738269519088	IL16;THY1;ICAM1
Apoptosis	3/41	0.14948045082646927	0.5424873587839192	0	0	2.3891285591026747	4.5407530320288165	KRT18;DDIT3;ENO2
Estrogen Response Late	3/44	0.17360930577383318	0.5424873587839192	0	0	2.210715713714514	3.8708479778516063	IGFBP4;HR;PRLR
Hedgehog Signaling	1/6	0.18184033598175572	0.5424873587839192	0	0	5.965079365079365	10.168230879555828	THY1
Angiogenesis	1/6	0.18184033598175572	0.5424873587839192	0	0	5.965079365079365	10.168230879555828	VCAN
UV Response Dn	2/25	0.19726813046687972	0.5424873587839192	0	0	2.6100981767180924	4.236688932653734	DLC1;MT1E
Interferon Gamma Response	3/49	0.2160228995509085	0.5483658219369215	0	0	1.9650748396293656	3.011223422906374	FGL2;PDE4B;ICAM1
Myogenesis	2/30	0.25868443613249453	0.5502310452081787	0	0	2.1382488479262673	2.891225382466522	FST;STC2
Inflammatory Response	3/54	0.2604063793167255	0.5502310452081787	0	0	1.767598842815815	2.3783252258275454	PDE4B;ADM;ICAM1
Complement	2/31	0.2710689346376104	0.5502310452081787	0	0	2.0634037819799778	2.6935304014652215	CTSL;TMPRSS6
Xenobiotic Metabolism	2/32	0.2834523566223951	0.5502310452081787	0	0	1.9935483870967743	2.5132888275568837	IGFBP4;MAN1A1
Apical Surface	1/11	0.30817914443644395	0.5649950981334806	0	0	2.9746031746031747	3.501328138389958	THY1
UV Response Up	2/38	0.35705299308115496	0.6097485425259614	0	0	1.6559139784946237	1.7053778979050545	ENO2;ICAM1
E2F Targets	2/41	0.39295146732906067	0.6097485425259614	0	0	1.5260545905707197	1.4254405410351587	GINS1;E2F8
DNA Repair	1/16	0.4152667046047616	0.6097485425259614	0	0	1.9777777777777779	1.7381389557553648	PDE4B
Fatty Acid Metabolism	1/17	0.43463671536920095	0.6097485425259614	0	0	1.8531746031746033	1.5441479790869026	ENO2
PI3K/AKT/mTOR  Signaling	1/18	0.45337476791312403	0.6097485425259614	0	0	1.7432306255835668	1.3789585180855466	DDIT3
Coagulation	1/18	0.45337476791312403	0.6097485425259614	0	0	1.7432306255835668	1.3789585180855466	TMPRSS6
IL-2/STAT5 Signaling	2/47	0.4619307140348193	0.6097485425259614	0	0	1.3182795698924732	1.018160529150824	SOCS2;FGL2
p53 Pathway	2/51	0.5053918694912913	0.6305550347685452	0	0	1.2080315997366688	0.8243863394195253	DDIT3;TM4SF1
mTORC1 Signaling	2/52	0.5159086648106279	0.6305550347685452	0	0	1.1832258064516128	0.7830890527935563	DDIT3;FGL2
TNF-alpha Signaling via NF-kB	3/89	0.5679958137340938	0.6563985175487446	0	0	1.0282119710255433	0.5815990844796023	PDE4B;PTX3;ICAM1
heme Metabolism	1/26	0.5828349331996763	0.6563985175487446	0	0	1.1803174603174602	0.6371958754346168	E2F2
Androgen Response	1/27	0.5967259250443132	0.6563985175487446	0	0	1.1343101343101343	0.5856413255312028	ADAMTS1
Unfolded Protein Response	1/35	0.692632246570358	0.737318197961994	0	0	0.8636788048552755	0.31719130034839665	STC2
KRAS Signaling Up	1/39	0.7317750682412336	0.7546430391237722	0	0	0.77109440267335	0.24079897633130462	SPON1
G2-M Checkpoint	1/43	0.766001085568831	0.766001085568831	0	0	0.6961451247165533	0.18557258380865183	E2F2
