NAME	TITLE	SCORE	
BMAL1		27.193632	
MRTFB		25.285881	
NPAS2		24.800488	
PER3		23.018541	
APCDD1		22.741941	
EPHB6		22.210436	
LY6G6C		22.163118	
CDC25B		22.08972	
VSIG10L		21.764214	
SH3RF2		21.702688	
KCNMB4		21.55304	
ERMAP		21.520336	
TSPAN14		21.412128	
CNGA1		21.377998	
ZBTB16		21.123047	
LINC01805		20.985336	
RPL36AL		20.81007	
MYDGF		20.781168	
CRIP2		20.751358	
KLK1		20.635971	
IL16		20.3134	
OCA2		20.273685	
RNF225		20.150223	
TCP11L2		20.097898	
MVP		20.0192	
PTTG1IP		19.981615	
NIPAL1		19.934134	
RCAN3		19.93199	
ITPR3		19.795673	
SPTLC3		19.746489	
FAM50A		19.45355	
CD63		19.447842	
ARHGEF10L		19.42129	
IGFBP4		19.34357	
PODNL1		19.301933	
SPCS2		19.220243	
EEF2K		19.217289	
CYP4F22		19.20176	
AAGAB		19.044899	
PTK2B		18.984642	
DOCK9		18.926422	
DUOX1		18.846128	
SMS		18.824783	
MFSD6		18.815678	
STUM		18.8094	
SLC39A7		18.713524	
NDUFAF4		18.645115	
XCR1		18.536766	
SPTBN2		18.512846	
SP8		18.511684	
BASP1		18.509851	
RRBP1		18.488974	
HIF3A		18.455296	
IQCN		18.433834	
PPP2R2C		18.404802	
GPLD1		18.361164	
WFDC5		18.261524	
IL11RA		18.2146	
SEMA4D		18.208555	
MLXIP		18.16054	
PLEKHA2		18.118685	
SERPINB13		18.051868	
MRFAP1		18.051537	
SCNN1B		17.995129	
PDCD5		17.992876	
STAMBPL1		17.986185	
RAB27A		17.946556	
PPL		17.909218	
MESD		17.8691	
CNTNAP3		17.786474	
ANP32A		17.776388	
ZNF440		17.762737	
DOCK3		17.688265	
RHOC		17.667011	
LRP4		17.572289	
GAS2L1		17.48053	
DRAM1		17.464987	
HSP90B1		17.415203	
BCL6B		17.399145	
SLC37A2		17.39159	
LAMB4		17.378595	
TARS1		17.325268	
SRA1		17.281162	
FLOT1		17.276758	
WNT10A		17.271807	
TPPP3		17.196001	
FUBP1		17.184345	
PLEKHA5		17.146568	
HSPE1		17.107632	
FCHO1		17.105167	
GNPDA1		17.086714	
NFIX		17.057444	
IGFL2		17.054867	
MYOM2		17.049938	
CLCA4		17.04237	
CNN3		17.036455	
SMARCD2		16.993534	
FKBP5		16.980383	
MAD2L2		16.960865	
TMEM125		16.956142	
NOTCH3		16.931343	
CCND1		16.9286	
ADAMTSL3		16.885721	
MAL2		16.883635	
CLIC4		16.8796	
ENO1		16.852568	
C14orf119		16.852179	
PRR13		16.815857	
IL20RA		16.810709	
KDM2B		16.78514	
RAB13		16.743065	
CIB1		16.718763	
CYTH3		16.672287	
DNAJC8		16.649267	
PPA1		16.615599	
CRIP1		16.59868	
FANCE		16.59847	
E2F1		16.593464	
CALCOCO1		16.573818	
SF3A3		16.469946	
HSD11B2		16.42796	
CORO2A		16.42179	
OLFM2		16.40217	
RASAL2		16.40211	
NCBP2		16.386295	
SEC62		16.37751	
FAM13B		16.291958	
GPR132		16.282877	
SYNE1		16.275715	
ARHGAP1		16.254572	
GSTO1		16.25356	
TMX2		16.234262	
PLRG1		16.221664	
DHRS7		16.195793	
TMEM126A		16.189396	
PTPN2		16.183878	
DNAJC1		16.18283	
ACER1		16.161995	
PITPNM3		16.121084	
ACIN1		16.102911	
NEMP2		16.044582	
WNT7B		16.018637	
EREG		16.00356	
S100A10		15.975185	
EIF2S2		15.950327	
NUCB2		15.921076	
IFITM2		15.897118	
CHST12		15.888216	
EED		15.847812	
SULT2B1		15.836081	
SAT2		15.786352	
GJB4		15.78035	
MTERF3		15.706777	
SMARCAD1		15.70619	
EPHX3		15.699586	
LSM2		15.650176	
C1orf116		15.649765	
PAPLN		15.6228075	
CFAP263		15.608768	
CHAD		15.558641	
SYNGR1		15.482395	
