NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	0.5892006	1.5210367	0.0	0.010999999	0.011	2423	tags=54%, list=20%, signal=68%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	199	0.5454981	1.4916477	0.0	0.012000002	0.024	2186	tags=45%, list=18%, signal=54%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	128	0.4974547	1.3387977	0.002	0.092687	0.245	4169	tags=52%, list=34%, signal=79%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	111	0.500528	1.3360684	0.002	0.07327035	0.26	3642	tags=56%, list=30%, signal=79%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	192	0.48652893	1.3281642	0.0	0.064416274	0.285	3085	tags=43%, list=25%, signal=57%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	83	0.4970159	1.3041192	0.006	0.07852054	0.388	3179	tags=43%, list=26%, signal=58%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	156	0.47623435	1.3008486	0.001	0.07058908	0.401	3064	tags=42%, list=25%, signal=55%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	60	0.48650885	1.2587961	0.027	0.113898724	0.62	2375	tags=38%, list=20%, signal=47%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	171	0.45593625	1.244951	0.003	0.12302809	0.694	4574	tags=51%, list=38%, signal=82%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	197	0.44943357	1.2273697	0.003	0.14023362	0.771	3926	tags=47%, list=32%, signal=68%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	46	0.4734705	1.208621	0.087	0.1690402	0.869	2475	tags=33%, list=20%, signal=41%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	130	0.42980883	1.1591859	0.046	0.32548377	0.99	4480	tags=49%, list=37%, signal=77%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	117	0.43166623	1.1591309	0.053	0.30067733	0.99	4048	tags=44%, list=33%, signal=66%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	165	0.42400804	1.15399	0.041	0.30242032	0.995	5082	tags=54%, list=42%, signal=92%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	91	0.43149933	1.1484241	0.091	0.30313364	0.998	4203	tags=46%, list=35%, signal=70%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	140	0.42307234	1.1455814	0.068	0.2961903	0.999	4037	tags=44%, list=33%, signal=66%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	171	0.4190347	1.1405708	0.051	0.3010688	0.999	4503	tags=42%, list=37%, signal=66%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	91	0.42686006	1.1271546	0.143	0.34403154	1.0	4616	tags=49%, list=38%, signal=79%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	162	0.4132628	1.1220808	0.092	0.34993094	1.0	2266	tags=25%, list=19%, signal=31%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	171	0.41218683	1.1213493	0.087	0.33613732	1.0	3752	tags=40%, list=31%, signal=57%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		34	0.450091	1.1212158	0.242	0.32055935	1.0	4077	tags=44%, list=34%, signal=66%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		167	0.41062382	1.1156683	0.098	0.33072484	1.0	2717	tags=31%, list=22%, signal=40%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		95	0.41543746	1.1095228	0.167	0.34474382	1.0	4473	tags=49%, list=37%, signal=78%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		142	0.39969584	1.0791	0.203	0.48428878	1.0	5283	tags=52%, list=44%, signal=91%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		15	0.46566752	1.0693617	0.39737108	0.5234211	1.0	4174	tags=40%, list=34%, signal=61%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		176	0.3897495	1.065625	0.233	0.52475363	1.0	5125	tags=49%, list=42%, signal=84%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		147	0.39065886	1.0634212	0.254	0.51724577	1.0	3438	tags=29%, list=28%, signal=40%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		31	0.42363855	1.0455297	0.413	0.5990189	1.0	3107	tags=32%, list=26%, signal=43%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		151	0.3813995	1.0367553	0.357	0.63185996	1.0	3580	tags=36%, list=30%, signal=51%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		136	0.37971446	1.0286378	0.39	0.66087204	1.0	1979	tags=19%, list=16%, signal=23%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		150	0.37367263	1.0150007	0.418	0.71650785	1.0	4682	tags=41%, list=39%, signal=65%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		26	0.40942228	0.9993171	0.5035035	0.78688574	1.0	2898	tags=27%, list=24%, signal=35%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		142	0.3664943	0.9886124	0.559	0.8236624	1.0	4739	tags=39%, list=39%, signal=64%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		95	0.36030176	0.9592836	0.655	0.9534192	1.0	4568	tags=40%, list=38%, signal=64%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		185	0.3510985	0.9588065	0.699	0.9282364	1.0	6210	tags=59%, list=51%, signal=119%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		36	0.3817367	0.9464263	0.632	0.96016234	1.0	5799	tags=58%, list=48%, signal=112%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		168	0.3433068	0.9340766	0.769	0.98709464	1.0	5695	tags=54%, list=47%, signal=101%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		162	0.34286502	0.9301166	0.798	0.9758346	1.0	4432	tags=36%, list=37%, signal=56%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		177	0.33485565	0.9136719	0.819	1.0	1.0	5329	tags=46%, list=44%, signal=82%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		151	0.3361756	0.9111847	0.826	0.9930822	1.0	4452	tags=36%, list=37%, signal=57%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		92	0.3409446	0.90219593	0.804	0.9949456	1.0	3279	tags=26%, list=27%, signal=36%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		69	0.34243077	0.89612067	0.795	0.9880207	1.0	1506	tags=16%, list=12%, signal=18%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		52	0.34523138	0.88246137	0.794	0.99812293	1.0	5892	tags=56%, list=49%, signal=108%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		84	0.32710928	0.85698885	0.89	1.0	1.0	7088	tags=61%, list=59%, signal=145%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		77	0.31789967	0.8361034	0.917	1.0	1.0	5425	tags=35%, list=45%, signal=63%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		193	0.2994373	0.8210904	0.984	1.0	1.0	4478	tags=32%, list=37%, signal=49%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		24	0.33944368	0.8187338	0.8268268	1.0	1.0	4653	tags=42%, list=38%, signal=68%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		185	0.28926367	0.78846115	0.994	1.0	1.0	5220	tags=36%, list=43%, signal=63%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		135	0.24400315	0.65834755	1.0	1.0	1.0	5895	tags=37%, list=49%, signal=71%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		56	0.22000329	0.57018393	1.0	0.99849844	1.0	4915	tags=30%, list=41%, signal=51%	
