NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	67	0.50009084	2.3460789	0.0	0.0	0.0	469	tags=64%, list=24%, signal=82%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	33	0.53902966	2.172219	0.0	0.0014389389	0.001	187	tags=39%, list=10%, signal=43%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	54	0.38807437	1.7274059	0.0057471264	0.058376923	0.05	496	tags=57%, list=25%, signal=75%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	39	0.39251387	1.6206715	0.023529412	0.094696544	0.111	371	tags=49%, list=19%, signal=59%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	33	0.39331186	1.5830425	0.026548672	0.09796585	0.142	392	tags=39%, list=20%, signal=48%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	41	0.33905044	1.431407	0.02688172	0.21192478	0.342	318	tags=34%, list=16%, signal=40%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	30	0.34798428	1.4043264	0.071428575	0.20662314	0.382	268	tags=27%, list=14%, signal=30%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	50	0.3017759	1.3783386	0.044198897	0.20791677	0.423	349	tags=32%, list=18%, signal=38%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	27	0.31868196	1.2164425	0.18987341	0.43921787	0.745	445	tags=44%, list=23%, signal=57%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	31	0.30771345	1.2148539	0.16666667	0.39803034	0.75	404	tags=45%, list=21%, signal=56%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	19	0.32180566	1.1535671	0.24206349	0.4836329	0.847	112	tags=21%, list=6%, signal=22%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	68	0.23443763	1.0715413	0.35877863	0.64828926	0.934	275	tags=25%, list=14%, signal=28%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	15	0.3075617	0.99423623	0.44444445	0.81016046	0.978	252	tags=33%, list=13%, signal=38%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	21	0.27290756	0.98054	0.4722222	0.79114735	0.982	469	tags=57%, list=24%, signal=74%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	18	0.28889245	0.9671477	0.49635038	0.77579594	0.988	279	tags=28%, list=14%, signal=32%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	25	0.24545202	0.9206353	0.5701358	0.85210425	0.994	228	tags=24%, list=12%, signal=27%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	54	0.20076524	0.8938429	0.672956	0.87064976	0.996	313	tags=30%, list=16%, signal=34%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	26	0.21431187	0.7984847	0.7983539	1.0	0.999	93	tags=12%, list=5%, signal=12%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	52	0.17780662	0.7665358	0.8888889	1.0	0.999	318	tags=21%, list=16%, signal=25%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	41	0.17561029	0.7328608	0.90697676	1.0	0.999	1505	tags=98%, list=77%, signal=420%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		90	0.13750881	0.6941845	0.9716981	1.0	0.999	406	tags=27%, list=21%, signal=32%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		38	0.15719682	0.65029454	0.9481865	0.9971987	0.999	307	tags=24%, list=16%, signal=28%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		35	0.1461784	0.5910436	0.98941797	0.9797272	0.999	1445	tags=97%, list=74%, signal=369%	
