Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_PROTEIN_SECRETION	0	NA	NA	NA	NA	NA	NA
HALLMARK_PANCREAS_BETA_CELLS	1	NA	NA	NA	NA	NA	NA
HALLMARK_ANGIOGENESIS	3	NA	NA	NA	NA	NA	NA
HALLMARK_APICAL_SURFACE	3	NA	NA	NA	NA	NA	NA
HALLMARK_HEDGEHOG_SIGNALING	3	NA	NA	NA	NA	NA	NA
HALLMARK_WNT_BETA_CATENIN_SIGNALING	4	NA	NA	NA	NA	NA	NA
HALLMARK_SPERMATOGENESIS	5	NA	NA	NA	NA	NA	NA
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	5	NA	NA	NA	NA	NA	NA
HALLMARK_NOTCH_SIGNALING	6	NA	NA	NA	NA	NA	NA
HALLMARK_OXIDATIVE_PHOSPHORYLATION	7	NA	NA	NA	NA	NA	NA
HALLMARK_BILE_ACID_METABOLISM	7	NA	NA	NA	NA	NA	NA
HALLMARK_MITOTIC_SPINDLE	8	NA	NA	NA	NA	NA	NA
HALLMARK_PEROXISOME	9	NA	NA	NA	NA	NA	NA
HALLMARK_CHOLESTEROL_HOMEOSTASIS	10	0.5	0.6315789473684211	0.3	0.3260869565217391	0.3477267235235844	22.86790108885327
HALLMARK_IL6_JAK_STAT3_SIGNALING	12	0.3	0.4497882352941176	9.0E-4	0.003214285714285714	0.6005397715151849	2.3963454854218793
HALLMARK_ADIPOGENESIS	12	0.5	0.6315789473684211	0.6564	0.6564	0.16334899935163508	21.778794153874294
HALLMARK_TGF_BETA_SIGNALING	13	0.0033	0.0099	0.0139	0.0235	0.6013562648740559	19.965668716236895
HALLMARK_COAGULATION	13	0.2391	0.38256	0.0446	0.06194444444444445	0.403435872475221	1.3825468052654581
HALLMARK_FATTY_ACID_METABOLISM	13	0.3186	0.4497882352941176	8.0E-4	0.003214285714285714	0.5418765960435189	4.552345274097387
HALLMARK_DNA_REPAIR	14	5.0E-4	0.003	0.0	0.0	0.9718971143045985	3.6765090698268965
HALLMARK_PI3K_AKT_MTOR_SIGNALING	14	0.6981	0.7636363636363637	0.2634	0.2993181818181818	0.21574428315887773	0.27181454946493655
HALLMARK_INTERFERON_ALPHA_RESPONSE	16	0.0082	0.01968	0.0	0.0	0.8712070315096109	4.0367069863772835
HALLMARK_ANDROGEN_RESPONSE	16	0.9798	0.9798	0.2073	0.2467857142857143	0.10064870230718348	0.9599267025418068
HALLMARK_APICAL_JUNCTION	18	0.6	0.72	0.0122	0.02346153846153846	0.21302368872476113	4.823474908447417
HALLMARK_UV_RESPONSE_DN	18	0.1	0.17142857142857143	0.0066	0.016499999999999997	0.48202332340988013	19.429836693862203
HALLMARK_COMPLEMENT	19	0.4	0.5333333333333333	0.0045	0.012499999999999999	0.490676510926479	2.619646208274019
HALLMARK_MYOGENESIS	19	0.1	0.17142857142857143	0.1801	0.225125	0.3410169065531622	18.54028671991269
HALLMARK_ALLOGRAFT_REJECTION	19	0.1	0.17142857142857143	1.0E-4	8.333333333333334E-4	0.6302493317005441	3.5442889828158424
HALLMARK_KRAS_SIGNALING_UP	21	0.7	0.7636363636363637	0.5	0.5208333333333334	0.09619817846460174	1.8030336017058617
HALLMARK_XENOBIOTIC_METABOLISM	21	0.7	0.7636363636363637	0.0102	0.02125	0.38310142383772966	2.9169244077442347
HALLMARK_HEME_METABOLISM	21	0.4	0.5333333333333333	0.0618	0.08131578947368422	0.1840218589106076	21.443623133968217
HALLMARK_KRAS_SIGNALING_DN	23	9.0E-4	0.0034285714285714284	1.0E-4	8.333333333333334E-4	0.6438849231159499	15.854912283439525
HALLMARK_GLYCOLYSIS	25	0.4	0.5333333333333333	0.0	0.0	0.36903678370453835	2.609005155886917
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	26	0.0	0.0	0.0	0.0	0.9092405742808559	3.8648769550299242
HALLMARK_UV_RESPONSE_UP	28	0.0152	0.03156923076923077	1.0E-4	8.333333333333334E-4	0.5956370888965218	2.0291735971116243
HALLMARK_IL2_STAT5_SIGNALING	29	0.3	0.4497882352941176	0.0141	0.0235	0.37543123467535366	0.8964122578216919
HALLMARK_MYC_TARGETS_V2	29	0.0	0.0	0.0	0.0	0.8342725353126126	3.6282184207431776
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	31	0.6	0.72	0.0158	0.0246875	0.18673949358450748	0.2875318050777311
HALLMARK_INFLAMMATORY_RESPONSE	31	1.0E-4	8.0E-4	2.0E-4	0.00125	0.4988929153522985	0.8624679816435707
HALLMARK_ESTROGEN_RESPONSE_LATE	31	0.8198	0.8554434782608695	0.0279	0.041029411764705884	0.13213747853218052	21.72275090990696
